0,0,1
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
1,964,32744
1,965,32744
1,966,32743
1,967,32742
1,968,32742
1,969,32741
1,970,32740
1,971,32739
1,972,32738
1,973,32738
1,974,32737
1,975,32736
1,976,32735
1,977,32734
1,978,32734
1,979,32733
1,980,32732
1,981,32731
1,982,32730
1,983,32729
1,984,32728
1,985,32728
1,986,32727
1,987,32726
1,988,32725
2,779,0
2,780,0
2,781,0
2,782,0
2,783,0
2,784,0
2,785,0
2,786,0
2,787,0
2,788,0
2,789,0
2,790,0
2,791,0
2,792,0
2,793,0
2,794,0
2,795,0
3,1797,78
3,1798,78
3,1799,78
3,1800,78
3,1801,79
3,1802,79
3,1803,79
3,1804,79
3,1805,80
3,1806,80
3,1807,80
3,1808,80
3,1809,81
3,1810,81
3,1811,81
3,1812,81
3,1813,82
3,1814,82
3,1815,82
3,1816,82
3,1817,83
3,1818,83
3,1819,83
3,1820,83
